コード(タスク),uid,ユーザ名,種類,日時
1,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
2,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
3,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
4,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
5,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
6,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
7,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
8,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
9,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
10,user_2QaVSvwou2OIij6z2YSPTn36zAi,Minh Nguyen,CREATE,2023/08/03 15:59:58
